"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","PEG","P/S","P/B","P/Free Cash Flow","Dividend","Dividend Yield","EPS (ttm)","EPS growth this year","EPS growth past 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Shares Outstanding","Shares Float","Float Short","Return on Equity","Current Ratio","Gross Margin","Operating Margin","Profit Margin","Performance (Half Year)","Performance (Year)","Performance (YTD)","52-Week High","Price","Change"
1598,"FTXL","First Trust Nasdaq Semiconductor ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.47,0.75%,,,,,,,,,,,,,,,,0.15%,-12.85%,18.67%,-14.78%,63.10,-1.66%
1599,"FTXN","First Trust Nasdaq Oil & Gas ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.63,2.30%,,,,,,,,,,,,,,,,15.95%,19.57%,-1.47%,-13.56%,27.55,-0.83%
1600,"FTXO","First Trust Nasdaq Bank ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.77,2.62%,,,,,,,,,,,,,,,,5.10%,-15.45%,11.98%,-20.02%,29.34,-0.14%
1601,"FTXR","First Trust Nasdaq Transportation ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.60,2.04%,,,,,,,,,,,,,,,,1.82%,-10.30%,16.73%,-11.67%,29.44,-1.48%
1602,"FUL","H.B. Fuller Company","Basic Materials","Specialty Chemicals","USA",3969.30,22.66,1.38,1.06,2.47,45.47,0.76,1.03%,3.26,9.80%,23.20%,10.20%,6.80%,-5.90%,3749.20,53.83,53.03,2.40%,11.20%,1.80,25.70%,8.50%,4.80%,16.02%,2.91%,3.23%,-9.19%,73.93,0.79%
1603,"FULC","Fulcrum Therapeutics, Inc.","Healthcare","Biotechnology","USA",760.70,,,71.09,2.64,,,,-2.56,18.10%,,,-75.50%,9.20%,10.70,61.67,58.56,5.67%,-54.80%,15.50,,,,76.15%,11.18%,73.49%,-49.05%,12.63,-2.32%
1604,"FULT","Fulton Financial Corporation","Financial","Banks - Regional","USA",2894.40,10.34,1.29,3.35,1.27,,0.60,3.47%,1.67,50.60%,11.90%,3.70%,26.90%,-9.40%,864.80,167.35,165.99,2.63%,11.10%,,,79.60%,30.20%,6.03%,-4.43%,2.67%,-8.32%,17.28,0.17%
1605,"FUMB","First Trust Ultra Short Duration Municipal ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.23,1.15%,,,,,,,,,,,,,,,,-0.13%,-0.55%,0.10%,-0.70%,19.97,-0.10%
1606,"FUN","Cedar Fair, L.P.","Consumer Cyclical","Leisure","USA",2388.25,9.36,,1.33,,10.58,1.20,2.72%,4.71,91.80%,-17.80%,0.80%,11.90%,125.90%,1802.30,56.38,53.52,9.03%,-40.00%,1.00,91.10%,27.30%,14.90%,7.51%,-24.71%,6.63%,-29.54%,44.08,1.33%
1607,"FUNC","First United Corporation","Financial","Banks - Regional","USA",126.57,4.96,,2.11,0.96,5.97,0.72,3.77%,3.85,49.10%,28.50%,4.90%,8.70%,57.00%,59.90,6.66,6.35,0.07%,18.80%,,,95.20%,42.80%,3.30%,-2.89%,-2.70%,-21.96%,19.12,1.27%
1608,"FUTY","Fidelity MSCI Utilities Index ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.24,2.80%,,,,,,,,,,,,,,,,-7.81%,-1.12%,-2.92%,-11.94%,44.25,-1.97%
1609,"FV","First Trust Dorsey Wright Focus 5 ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.64,1.34%,,,,,,,,,,,,,,,,9.37%,-0.71%,2.84%,-5.40%,47.87,-0.89%
1610,"FVAL","Fidelity Value Factor ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.00,2.11%,,,,,,,,,,,,,,,,2.49%,-8.65%,8.28%,-9.12%,47.48,-0.85%
1611,"FVC","First Trust Dorsey Wright Dynamic Focus 5 ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.53,1.48%,,,,,,,,,,,,,,,,2.56%,-3.80%,1.70%,-7.82%,35.61,-0.17%
1612,"FVCB","FVCBankcorp, Inc.","Financial","Banks - Regional","USA",259.56,8.63,,3.55,1.01,20.93,,,1.62,37.20%,18.80%,16.00%,21.30%,48.80%,73.20,13.99,11.17,0.65%,12.10%,,,82.60%,33.10%,-8.28%,-16.75%,-8.23%,-20.09%,14.00,0.57%
1613,"FVD","First Trust Value Line Dividend Index Fund","Financial","Exchange Traded Fund","USA",,,,,,,0.83,2.03%,,,,,,,,,,,,,,,,1.23%,-2.77%,2.86%,-5.24%,41.05,-0.77%
1614,"FWONA","Formula One Group","Communication Services","Broadcasting","USA",32026.97,416.90,,12.29,2.31,123.18,,,0.15,68.20%,-17.20%,,7.00%,121.30%,2606.00,233.82,22.33,2.40%,0.50%,3.00,31.70%,7.40%,1.30%,6.81%,17.02%,20.94%,-0.52%,64.62,0.08%
1615,"FWONK","Formula One Group","Communication Services","Broadcasting","USA",31980.20,,,12.50,2.54,,,,-2.57,146.30%,,,48.50%,101.80%,2559.00,207.40,198.86,3.66%,,,,,,7.53%,18.55%,20.14%,-0.37%,71.82,0.17%
1616,"FWRG","First Watch Restaurant Group, Inc.","Consumer Cyclical","Restaurants","USA",963.04,,,1.36,1.85,78.94,,,-0.17,94.80%,,,18.70%,-94.30%,707.00,59.09,58.40,2.27%,0.50%,0.70,60.90%,2.00%,0.40%,-3.20%,7.37%,20.62%,-13.88%,16.32,0.87%
1617,"FXA","Invesco CurrencyShares Australian Dollar Trust","Financial","Exchange Traded Fund","USA",,,,,,,0.06,0.09%,,,,,,,,,,,,,,,,-0.78%,-3.19%,1.63%,-9.73%,68.50,-2.27%
1618,"FXC","Invesco CurrencyShares Canadian Dollar Trust","Financial","Exchange Traded Fund","USA",,,,,,,0.31,0.42%,,,,,,,,,,,,,,,,-4.08%,-5.62%,0.93%,-7.51%,72.94,-0.64%
1619,"FXD","First Trust Consumer Discretionary AlphaDEX Fund","Financial","Exchange Traded Fund","USA",,,,,,,0.48,0.85%,,,,,,,,,,,,,,,,12.57%,-2.78%,17.06%,-6.09%,56.39,-0.95%
1620,"FXE","Invesco CurrencyShares Euro Currency Trust","Financial","Exchange Traded Fund","USA",,,,,,,0.03,0.03%,,,,,,,,,,,,,,,,5.19%,-5.19%,0.79%,-6.72%,99.58,-1.10%
1621,"FXF","Invesco CurrencyShares Swiss Franc Trust","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,2.75%,-1.60%,-0.25%,-1.95%,96.27,-1.41%
1622,"FXG","First Trust Consumer Staples AlphaDEX Fund","Financial","Exchange Traded Fund","USA",,,,,,,1.15,1.84%,,,,,,,,,,,,,,,,-1.57%,0.37%,-0.14%,-8.55%,62.68,-0.41%
1623,"FXI","iShares China Large-Cap ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.74,2.38%,,,,,,,,,,,,,,,,2.00%,-17.88%,9.86%,-20.08%,31.09,-2.45%
1624,"FXN","First Trust Energy AlphaDEX Fund","Financial","Exchange Traded Fund","USA",,,,,,,0.39,2.34%,,,,,,,,,,,,,,,,7.71%,19.83%,-2.75%,-14.63%,16.62,-0.78%
1625,"FXO","First Trust Financials AlphaDEX Fund","Financial","Exchange Traded Fund","USA",,,,,,,1.02,2.21%,,,,,,,,,,,,,,,,12.00%,-1.36%,13.04%,-4.58%,46.30,-0.34%
1626,"FXP","ProShares UltraShort FTSE China 50","Financial","Exchange Traded Fund","USA",,,,,,,0.02,0.07%,,,,,,,,,,,,,,,,-25.82%,-21.80%,-19.59%,-61.85%,28.61,5.04%
1627,"FXR","First Trust Industrials/Producer Durables AlphaDEX Fund","Financial","Exchange Traded Fund","USA",,,,,,,0.47,0.82%,,,,,,,,,,,,,,,,9.22%,-0.43%,12.87%,-1.57%,58.14,-0.73%
1628,"FXU","First Trust Utilities AlphaDEX Fund","Financial","Exchange Traded Fund","USA",,,,,,,0.67,2.03%,,,,,,,,,,,,,,,,-3.47%,3.15%,0.05%,-8.08%,33.22,-1.85%
1629,"FXY","Invesco CurrencyShares Japanese Yen Trust","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,0.95%,-13.27%,-0.03%,-13.06%,71.08,-1.80%
1630,"FXZ","First Trust Materials AlphaDEX Fund","Financial","Exchange Traded Fund","USA",,,,,,,0.94,1.32%,,,,,,,,,,,,,,,,18.46%,17.02%,18.11%,-5.54%,71.56,-0.51%
1631,"FYBR","Frontier Communications Parent, Inc.","Communication Services","Telecom Services","USA",7253.60,15.66,,1.23,1.50,,,,1.93,623.70%,36.00%,-6.30%,-8.40%,-4.60%,5893.00,244.98,244.48,7.10%,10.00%,1.60,62.90%,11.50%,8.10%,16.42%,13.03%,18.80%,-1.82%,30.27,-0.88%
1632,"FYC","First Trust Small Cap Growth AlphaDEX Fund","Financial","Exchange Traded Fund","USA",,,,,,,0.47,0.77%,,,,,,,,,,,,,,,,0.59%,-6.80%,11.60%,-12.59%,61.69,-0.61%
1633,"FYT","First Trust Small Cap Value AlphaDEX Fund","Financial","Exchange Traded Fund","USA",,,,,,,0.61,1.17%,,,,,,,,,,,,,,,,8.19%,2.05%,16.49%,-1.48%,52.44,-0.96%
1634,"FYX","First Trust Small Cap Core AlphaDEX Fund","Financial","Exchange Traded Fund","USA",,,,,,,0.75,0.84%,,,,,,,,,,,,,,,,5.31%,-1.61%,13.51%,-5.88%,89.05,-1.08%
1635,"GABC","German American Bancorp, Inc.","Financial","Banks - Regional","USA",1191.22,15.19,1.69,5.92,2.42,15.80,0.92,2.26%,2.68,35.30%,15.10%,10.50%,29.60%,3.00%,201.10,29.48,27.71,1.91%,12.90%,,,90.10%,38.10%,9.27%,2.62%,9.03%,-2.24%,40.67,1.80%
1636,"GAIN","Gladstone Investment Corporation","Financial","Asset Management","USA",465.62,,,6.31,1.26,,0.96,6.85%,-0.47,104.40%,-4.79%,,7.10%,-74.50%,73.82,33.23,32.35,3.93%,,,,,,-6.36%,-11.37%,8.52%,-15.47%,14.01,-2.98%
1637,"GAL","SPDR SSgA Global Allocation ETF","Financial","Exchange Traded Fund","USA",,,,,,,2.33,5.87%,,,,,,,,,,,,,,,,-1.95%,-11.82%,5.43%,-12.14%,39.60,-1.17%
1638,"GAM","General American Investors Company, Inc.","Financial","Closed-End Fund - Equity","USA",1150.83,14.88,,73.63,0.90,,0.48,1.22%,2.65,,-66.35%,,6.60%,,15.63,23.98,21.92,0.04%,,,,,,4.45%,-3.58%,9.27%,-5.68%,39.50,-1.00%
1639,"GAMR","Wedbush ETFMG Video Game Tech ETF","Financial","Exchange Traded Fund","USA",,,,,,,2.28,3.70%,,,,,,,,,,,,,,,,-5.09%,-23.76%,11.11%,-25.85%,61.55,-1.86%
1640,"GAZ","iPath Series B Bloomberg Natural Gas Subindex Total Return ETN","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,-69.09%,-54.05%,-40.67%,-75.12%,13.10,-2.09%
1641,"GBAB","Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust","Financial","Closed-End Fund - Debt","USA",380.49,,,,,,1.51,8.60%,,,,,,,,21.69,21.69,0.07%,,,,,,-7.64%,-19.43%,7.21%,-19.13%,17.54,-0.23%
1642,"GBBK","Global Blockchain Acquisition Corp.","Financial","Shell Companies","USA",224.35,,,,1.26,,,,,,,,,,,22.01,18.26,0.01%,,4.20,,,,,,0.79%,-4.06%,10.17,0.00%
1643,"GBCI","Glacier Bancorp, Inc.","Financial","Banks - Regional","USA",5348.29,17.56,1.76,6.45,1.92,,1.32,2.75%,2.74,2.10%,12.50%,14.60%,28.60%,-9.50%,829.60,110.77,110.27,2.14%,9.20%,,,83.80%,32.60%,-5.00%,-6.04%,-2.79%,-19.53%,48.04,-0.29%
1644,"GBDC","Golub Capital BDC, Inc.","Financial","Asset Management","USA",2353.27,15.36,1.54,6.07,0.93,,1.32,9.55%,0.90,-55.60%,-8.70%,23.00%,47.50%,-88.80%,387.80,170.90,161.51,2.43%,5.90%,,53.30%,50.10%,39.60%,-1.92%,-13.19%,5.02%,-14.85%,13.82,-0.86%
1645,"GBIL","Goldman Sachs Access Treasury 0-1 Year ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.37,1.37%,,,,,,,,,,,,,,,,-0.08%,-0.29%,-0.01%,-0.31%,99.70,-0.01%
1646,"GBLI","Global Indemnity Group, LLC","Financial","Insurance - Property & Casualty","USA",403.48,19.54,1.95,0.61,0.64,7.27,1.00,3.57%,1.43,233.20%,-7.10%,4.60%,16.50%,395.00%,662.10,14.59,7.98,0.03%,3.30%,,,5.40%,3.30%,10.06%,7.28%,20.12%,-8.85%,28.00,-0.92%
1647,"GBNY","Generations Bancorp NY, Inc.","Financial","Banks - Regional","USA",25.95,16.34,,1.98,0.67,8.37,,,0.67,-15.50%,3.60%,3.90%,-5.70%,85.70%,13.10,2.31,1.80,0.05%,3.80%,,,84.00%,11.90%,-5.68%,0.46%,1.39%,-9.28%,10.95,-0.45%
1648,"GBX","The Greenbrier Companies, Inc.","Industrials","Railroads","USA",1014.08,57.29,8.18,0.32,0.82,,1.08,3.41%,0.55,88.60%,-17.50%,6.50%,39.20%,-258.70%,3193.50,32.72,31.96,3.87%,1.50%,,10.30%,3.20%,0.60%,2.72%,-22.28%,-5.52%,-40.74%,31.68,-0.38%
1649,"GCAD","Gabelli ETFs Trust Gabelli Equi","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,2.51%,-2.94%,25.68,0.00%
1650,"GCBC","Greene County Bancorp, Inc.","Financial","Banks - Regional","USA",438.58,15.01,,6.16,2.84,13.84,0.56,1.05%,3.55,16.90%,20.10%,13.70%,19.20%,27.00%,71.20,8.51,3.37,1.09%,17.70%,,,76.80%,39.30%,12.95%,43.12%,-7.19%,-40.65%,53.29,3.68%
1651,"GCC","WisdomTree Enhanced Commodity Strategy Fund","Financial","Exchange Traded Fund","USA",,,,,,,0.08,0.44%,,,,,,,,,,,,,,,,-20.55%,-19.21%,-2.41%,-37.83%,17.78,-2.31%
1652,"GCO","Genesco Inc.","Consumer Cyclical","Apparel Retail","USA",623.20,7.04,0.70,0.26,1.07,,,,7.03,301.00%,16.90%,3.70%,0.50%,-26.60%,2387.50,12.14,11.85,6.37%,16.40%,1.50,48.40%,5.30%,4.00%,-15.80%,-21.50%,7.48%,-31.63%,49.46,-1.73%
1653,"GCOR","Goldman Sachs Access U.S. Aggregate Bond ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.87,2.04%,,,,,,,,,,,,,,,,-4.07%,-10.92%,3.16%,-11.17%,42.39,-0.63%
1654,"GDDY","GoDaddy Inc.","Technology","Software - Infrastructure","USA",12957.32,39.40,1.31,3.18,,14.66,,,2.11,148.20%,54.70%,15.60%,7.20%,9.70%,4070.70,156.39,154.76,2.22%,-124.10%,0.70,63.70%,12.00%,8.50%,7.50%,6.05%,11.33%,-5.68%,83.30,-0.93%
1655,"GDEN","Golden Entertainment, Inc.","Consumer Cyclical","Resorts & Casinos","USA",1216.26,14.83,0.99,1.08,3.37,9.22,,,2.81,203.50%,47.30%,22.30%,-1.20%,-50.70%,1124.00,28.50,20.54,3.87%,27.00%,1.90,43.50%,12.90%,8.00%,-8.29%,-6.77%,11.26%,-30.60%,41.61,3.69%
1656,"GDIV","Harbor Dividend Growth Leaders ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.16,1.31%,,,,,,,,,,,,,,,,1.33%,,3.46%,-16.25%,12.25,-0.28%
1657,"GDO","Western Asset Global Corporate Defined Opportunity Fund Inc.","Financial","Asset Management","USA",200.99,,,,,,1.21,9.01%,,,,,,,,14.94,14.94,0.01%,,,,,,-5.81%,-20.32%,5.32%,-20.74%,13.45,-0.44%
1658,"GDOT","Green Dot Corporation","Financial","Credit Services","USA",986.83,21.82,1.69,0.69,1.32,3.43,,,0.89,100.80%,1.20%,14.80%,1.20%,-33.20%,1438.00,53.05,51.01,4.09%,10.30%,0.30,,9.60%,6.70%,-31.52%,-37.36%,22.50%,-43.55%,19.38,-0.72%
1659,"GDV","The Gabelli Dividend & Income Trust","Financial","Closed-End Fund - Equity","USA",1985.07,10.72,,47.01,0.88,,1.32,6.00%,2.05,,,,-21.00%,,42.23,90.27,90.10,0.02%,,,,,,-0.33%,-15.18%,6.70%,-14.88%,21.99,-1.65%
1660,"GDX","VanEck Gold Miners ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.01,3.33%,,,,,,,,,,,,,,,,14.72%,-1.01%,5.79%,-27.12%,30.32,-4.41%
1661,"GDXJ","VanEck Junior Gold Miners ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.93,2.52%,,,,,,,,,,,,,,,,8.22%,-4.80%,3.39%,-29.01%,36.86,-4.71%
1662,"GDXU","MicroSectors Gold Miners 3X Leveraged ETNs","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,3.86%,-49.63%,10.32%,-77.76%,46.84,-13.21%
1663,"GDYN","Grid Dynamics Holdings, Inc.","Technology","Information Technology Services","USA",984.56,,,3.32,2.61,58.26,,,-0.39,53.40%,,,40.20%,,296.40,68.62,51.62,3.12%,-10.00%,10.10,39.00%,-5.70%,-8.80%,-34.78%,-48.03%,18.98%,-48.44%,13.35,-4.37%
1664,"GE","General Electric Company","Industrials","Specialty Industrial Machinery","USA",87306.25,154.06,3.46,1.14,2.85,30.31,0.32,0.39%,0.53,-159.20%,-19.90%,-9.10%,2.80%,-125.60%,76554.00,1095.00,1090.34,1.46%,-12.80%,1.10,25.60%,-5.00%,-6.10%,42.57%,7.13%,25.35%,-2.46%,81.96,-2.36%
1665,"GEEX","Games & Esports Experience Acquisition Corp.","Financial","Shell Companies","USA",259.00,16.21,,,,,,,0.64,,,,,,,25.00,23.71,0.08%,17.80%,1.00,,,,4.41%,,1.07%,-1.42%,10.41,0.00%
1666,"GEF","Greif, Inc.","Consumer Cyclical","Packaging & Containers","USA",3678.70,9.33,0.93,0.58,1.96,6.82,2.00,2.77%,7.75,-3.40%,25.60%,11.80%,-5.20%,-3.40%,6349.50,47.70,30.00,3.80%,22.70%,1.40,20.20%,9.40%,5.90%,5.79%,22.24%,7.86%,-2.55%,72.33,-0.92%
1667,"GEHC","GE HealthCare Technologies Inc.","Healthcare","Health Information Services","USA",31631.80,16.76,,1.76,,41.90,,,4.21,11.10%,,,-47.40%,-58.00%,17992.00,453.93,453.29,2.73%,,1.10,39.50%,13.70%,10.70%,,,20.85%,-4.60%,70.55,-0.14%
1668,"GEL","Genesis Energy, L.P.","Energy","Oil & Gas Midstream","USA",1376.12,,,0.52,2.47,,0.60,5.34%,-0.89,51.20%,-31.70%,4.40%,39.00%,61.30%,2656.50,122.58,106.38,1.87%,-18.40%,1.10,21.50%,7.90%,-4.10%,19.85%,-5.87%,9.99%,-16.44%,11.23,-1.06%
1669,"GEM","Goldman Sachs ActiveBeta Emerging Markets Equity ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.04,3.41%,,,,,,,,,,,,,,,,3.46%,-17.18%,7.59%,-18.99%,30.46,-1.65%
1670,"GEN","Gen Digital Inc.","Healthcare","Medical Care Facilities","USA",14095.91,21.47,1.59,4.91,7.40,29.61,0.50,2.35%,0.99,21.90%,41.70%,-7.00%,8.10%,-79.40%,2873.00,665.57,609.89,1.88%,195.70%,0.60,85.10%,32.20%,20.60%,-19.92%,-18.30%,-0.61%,-31.10%,21.30,-9.63%
1671,"GENQ","Genesis Unicorn Capital Corp.","Financial","Shell Companies","USA",116.39,,,,1.37,,,,-0.02,,,,,840.70%,,11.20,8.67,0.02%,-0.30%,1.70,,,,,,2.56%,-0.14%,10.42,-0.14%
1672,"GENY","Principal Millennial Global Growth ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.97,2.11%,,,,,,,,,,,,,,,,16.80%,-13.92%,19.96%,-15.07%,46.07,-2.05%
1673,"GEO","The GEO Group, Inc.","Real Estate","REIT - Healthcare Facilities","USA",1452.88,21.99,1.47,0.63,1.26,6.59,,,0.53,-38.10%,-15.20%,0.70%,10.70%,9.10%,2313.60,121.15,118.21,20.60%,6.20%,1.20,29.60%,13.80%,2.80%,66.81%,66.57%,6.03%,-6.71%,11.61,-0.94%
1674,"GER","Goldman Sachs MLP and Energy Renaissance Fund","Financial","Closed-End Fund - Equity","USA",222.17,,,,,,0.80,5.80%,,,,,,,,16.11,15.98,0.00%,,,,,,10.85%,16.47%,7.90%,-1.15%,13.79,-0.93%
1675,"GERM","ETFMG Treatments, Testing and Advancements ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.14,0.57%,,,,,,,,,,,,,,,,-9.17%,-13.39%,9.03%,-16.93%,24.41,-0.40%
1676,"GES","Guess', Inc.","Consumer Cyclical","Apparel Retail","USA",1279.12,12.78,2.90,0.48,3.02,,0.90,3.84%,1.83,302.70%,57.50%,3.40%,-1.50%,-25.80%,2669.50,53.89,28.26,16.88%,14.00%,1.60,43.40%,6.80%,2.40%,20.64%,7.08%,13.29%,-4.95%,23.44,-1.31%
1677,"GFF","Griffon Corporation","Industrials","Tools & Accessories","USA",2458.02,,,0.86,4.69,,0.40,0.93%,-5.60,-517.10%,43.46%,13.30%,86.70%,739.70%,2848.50,52.11,46.49,1.99%,-24.90%,2.90,33.20%,-6.80%,-6.70%,40.46%,106.54%,20.17%,2.02%,43.01,2.31%
1678,"GFL","GFL Environmental Inc.","Industrials","Waste Management","Canada",13640.47,,,2.11,1.83,73.73,0.06,0.20%,-0.34,45.10%,-29.20%,42.70%,32.60%,43.00%,6479.60,368.63,308.31,4.42%,-4.20%,0.60,10.90%,2.10%,-3.90%,10.25%,-4.03%,7.42%,-8.08%,31.40,-1.41%
1679,"GFS","GLOBALFOUNDRIES Inc.","Technology","Semiconductors","USA",34999.39,41.53,,4.46,3.80,58.30,,,1.52,80.40%,,,22.00%,,7853.90,545.07,543.48,2.57%,9.70%,1.50,25.50%,12.30%,10.50%,17.94%,25.62%,17.37%,-20.43%,63.25,-2.38%
1680,"GGG","Graco Inc.","Industrials","Specialty Industrial Machinery","USA",11912.34,27.25,2.62,5.60,6.75,346.29,0.94,1.32%,2.62,31.20%,60.30%,8.40%,12.10%,13.20%,2128.10,169.17,166.97,1.28%,26.20%,3.00,49.80%,26.50%,21.40%,5.96%,-3.49%,6.02%,-4.36%,71.31,-0.15%
1681,"GGLL","Direxion Daily GOOGL Bull 1.5X Shares","Financial","Exchange Traded Fund","USA",,,,,,,0.40,1.74%,,,,,,,,,,,,,,,,,,28.13%,-13.40%,23.00,-4.33%
1682,"GGZ","The Gabelli Global Small and Mid Cap Value Trust","Financial","Closed-End Fund - Equity","USA",113.21,,,,,,0.64,5.02%,,,,,,,,8.87,6.22,0.07%,,,,,,5.63%,-13.67%,13.73%,-14.93%,12.76,-1.49%
1683,"GH","Guardant Health, Inc.","Healthcare","Diagnostics & Research","USA",3229.77,,,7.50,19.60,,,,-5.94,-53.80%,-48.60%,71.40%,23.80%,-49.40%,430.80,102.29,97.63,5.69%,-145.60%,6.50,66.90%,,,-37.48%,-54.70%,17.43%,-59.23%,31.94,-1.39%
1684,"GHI","Greystone Housing Impact Invest","Financial","Mortgage Finance","USA",419.76,6.66,,5.31,1.38,,1.48,7.76%,2.86,633.00%,9.20%,-1.30%,27.70%,37.20%,79.00,22.48,12.86,0.62%,19.00%,,69.10%,88.90%,80.80%,0.36%,-1.74%,9.66%,-2.54%,19.08,1.17%
1685,"GHL","Greenhill & Co., Inc.","Financial","Capital Markets","USA",242.48,110.72,,0.87,4.27,7.53,0.40,2.89%,0.12,27.20%,-1.80%,-1.10%,-8.50%,-20.60%,279.40,17.94,11.90,2.10%,16.80%,,97.00%,10.80%,4.40%,65.75%,-18.06%,35.02%,-31.11%,13.84,0.80%
1686,"GHLD","Guild Holdings Company","Financial","Mortgage Finance","USA",736.80,1.91,,0.62,0.58,0.72,,,6.27,-24.40%,,,-50.20%,7.00%,1195.10,60.89,12.14,0.10%,34.30%,,,46.60%,32.30%,0.84%,-3.30%,18.93%,-12.22%,12.00,1.69%
1687,"GHM","Graham Corporation","Industrials","Specialty Industrial Machinery","USA",117.94,,,0.83,1.19,45.36,0.44,4.05%,-0.44,-449.10%,-29.30%,6.00%,11.70%,59.90%,142.70,10.62,9.93,0.44%,-4.80%,1.40,11.80%,-4.00%,-3.30%,38.12%,-9.42%,12.99%,-12.06%,10.87,0.83%
1688,"GHY","PGIM Global High Yield Fund, Inc","Financial","Closed-End Fund - Debt","USA",490.27,,,,,,1.26,10.52%,,,,,,,,40.92,40.86,0.04%,,,,,,-1.80%,-17.66%,10.52%,-17.78%,11.98,-0.83%
1689,"GHYB","Goldman Sachs Access High Yield Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,,,,,2.38,5.47%,,,,,,,,,,,,,,,,-2.30%,-10.31%,3.70%,-10.01%,43.46,-1.05%
1690,"GIA","GigCapital5, Inc.","Financial","Shell Companies","USA",109.45,,,,10.26,,,,-0.08,,,,,-93.90%,,29.54,4.82,0.12%,-1.30%,0.30,,,,3.65%,,1.62%,-0.53%,10.36,-0.05%
1691,"GIB","CGI Inc.","Technology","Information Technology Services","Canada",19438.61,20.09,1.95,2.01,3.94,15.15,,,4.53,11.60%,12.10%,3.50%,8.00%,8.40%,9660.10,236.33,183.39,0.95%,20.90%,1.20,16.20%,15.30%,11.40%,4.59%,2.82%,5.76%,-0.45%,91.09,2.37%
1692,"GIC","Global Industrial Company","Industrials","Industrial Distribution","USA",1091.65,12.88,0.72,0.93,5.39,,0.72,2.51%,2.23,8.50%,77.50%,7.10%,7.60%,-12.70%,1167.60,38.00,16.33,0.60%,60.50%,1.90,36.30%,9.70%,9.20%,-9.81%,-15.62%,21.93%,-23.12%,28.69,-1.98%
1693,"GIGB","Goldman Sachs Access Investment Grade Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.38,2.99%,,,,,,,,,,,,,,,,-2.90%,-12.02%,4.20%,-11.58%,46.06,-1.13%
1694,"GII","SPDR S&P Global Infrastructure ETF","Financial","Exchange Traded Fund","USA",,,,,,,2.43,4.45%,,,,,,,,,,,,,,,,-1.23%,-0.19%,4.14%,-8.51%,54.59,-1.50%
1695,"GIII","G-III Apparel Group, Ltd.","Consumer Cyclical","Apparel Retail","USA",795.43,4.72,,0.25,0.50,,,,3.60,739.30%,29.90%,3.00%,6.20%,-41.60%,3120.50,47.49,41.26,6.49%,11.20%,3.10,34.40%,8.10%,5.70%,-24.51%,-39.00%,24.00%,-46.37%,17.00,-0.29%
1696,"GIL","Gildan Activewear Inc.","Consumer Cyclical","Apparel Manufacturing","Canada",5620.08,9.29,2.82,1.70,3.05,46.68,0.68,2.17%,3.35,370.60%,15.90%,2.50%,6.00%,-11.70%,3304.70,181.98,175.76,2.47%,33.70%,2.60,29.90%,20.80%,19.10%,0.58%,-24.14%,13.69%,-25.67%,31.15,1.90%
1697,"GILD","Gilead Sciences, Inc.","Healthcare","Drug Manufacturers - General","USA",105844.70,31.96,15.78,3.90,5.03,19.90,2.92,3.46%,2.64,-10.20%,-13.10%,-2.10%,-5.10%,-30.90%,27136.00,1255.00,1253.10,1.19%,16.20%,1.30,74.60%,22.10%,12.30%,36.49%,28.38%,-1.57%,-5.84%,84.50,3.82%
1698,"GINN","Goldman Sachs Innovate Equity ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.35,0.74%,,,,,,,,,,,,,,,,0.64%,-15.11%,16.32%,-16.25%,47.47,-1.53%
